id,title,author,age,annotation,cover_image
d_1984,1984,Джордж Оруэлл,16+,"Концепты: внутренняя_свобода, закон_и_человечность, репрессии, свобода_воли, идеология, антиутопия, консерватизм, литература, тирания, либерализм, чинопочитание, прошлое",/covers/022bf0dac0b54df0a270c874b2049041.jpg
amerik_traged,Американская трагедия,Теодор Драйзер,16=,"Концепты: чувство_собственного_достоинства, вера, зависть, зрелость, нравственные_идеалы, тирания, бедность, цинизм, отцовство, самолюбие, чинопочитание, детство",/covers/3dd265d07a284e3faccce62ebae5753d.jpg
anna_karenina,Анна Каренина,Л.Н.Толстой,16+,"Концепты: любовь_и_прощение, характер, любовь_и_верность, любовь_и_разочарование, первая_любовь, фольклор, любовь_и_страсть, литература, легенда, любовь, романтизм, миф",/covers/b25b2913e6074d7fa920064799054547.jpg
arhipelag_gulag,Архипелаг ГУЛАГ,А.И.Солженицын,16+,"Концепты: историческая_память, идеология, репрессии, исторический_выбор, послевоенная_травма, общественные_пороки, прошлое, жертвы_войны, бунт, память_поколений, революционные_потрясения, роль_личности_в_истории",/covers/e2a5cd8b23f2409c960602a6d6033ee6.jpg
bednaya_liza,Бедная Лиза,Николай Карамзин,12+,"Концепты: любовь_и_разочарование, литература, зависть, чувство_собственного_достоинства, несчастье, отчаяние, страдание, фольклор, жертва, миф, жестокость, легенда",/covers/ecd351b25b9a490985cd0e64ce01626e.jpg
belaya_gvardiya,Белая гвардия,М.А.Булгаков,12+,"Концепты: коллективизм, легенда, солдатская_судьба, революционные_потрясения, эпоха, бунт_против_судьбы, война_и_личность, тирания, послевоенная_травма, роль_личности_в_истории, война, героизм",/covers/008e7f95220249959eafe04e4d2df58b.jpg
bespridannica,Бесприданница,А.Н.Островский,12+,"Концепты: любовь_и_страсть, чинопочитание, чувство_собственного_достоинства, материнство, красота, легенда, любовь, зависть, миф, ревность, несчастная_любовь, женская_доля",/covers/09c926a2d6a742b1956210f29dd0ff45.jpg
besy,Бесы,Ф.М.Достоевский,16+,"Концепты: цинизм, антиутопия, идеология, несчастье, жестокость_войны, утраты_на_войне, революционные_потрясения, революция, бунт, разрушение_идеалов, жестокость, фольклор",/covers/2126c6a4b7334b98b0cfa18fd46737c3.jpg
bozhestv_comediya,Божественная комедия,Алигьери Данте,16+,"Концепты: утопия, жизненный_путь, фольклор, легенда, духовное_возрождение, красота, вера, бог, литература, духовность, миф, религия",/covers/3e94c91e5abf4005b4bd7235d0c3b665.jpg
boris_godunov,Борис Годунов,А.С.Пушкин,12+,"Концепты: фольклор, разрушение_идеалов, жестокость, политический_конфликт, послевоенная_травма, жертва, жертвы_войны, исторический_выбор, литература, революционные_потрясения, легенда, репрессии",/covers/16bfbbb9ecd849398ff6eece5f18ecba.jpg
bratya_karamazovy,Братья Карамазовы,Ф.М.Достоевский,16+,"Концепты: предательство, характер, насилие, литература, тирания, эмпатия, роль_личности_в_истории, жестокость_войны, несчастная_любовь, жертва, вина, народная_судьба",/covers/050b329c7e394202b0ac3ca02277bc1c.jpg
velikiy_getsbi,Великий Гэтсби,Фрэнсис Скотт Фицджеральд,16+,"Концепты: отчаяние, несчастная_любовь, страх_перед_жизнью, любовь, фольклор, миф, жизненный_путь, духовный_кризис, любовь_и_разочарование, поиск_счастья, народная_жизнь, безумие",/covers/f7d9d09f0f434db0b96474f9694f6d81.jpg
vechera_na_hutore,Вечера на хуторе близ Диканьки,Н.В.Гоголь,12+,"Концепты: язык, традиции, легенда, послевоенная_травма, культурная_идентичность, роль_личности_в_истории, бунт_против_судьбы, культура, гордыня, миф, народная_жизнь, прошлое",/covers/54d6ba24ebcd45da8ed7ab14f080f138.webp
vishnevy_sad,Вишневый сад,А.П.Чехов,12+,"Концепты: эгоизм, утопия, вина, судьба, антиутопия, революционные_потрясения, бунт_против_судьбы, деревня, фольклор, тирания, жертва, народная_жизнь",/covers/85de244b0529406fb10f3bd9325a1d60.png
war_and_peace,Война и мир,Л.Н.Толстой,16+,"Концепты: религия, героизм, тирания, характер, послевоенная_травма, война_и_личность, духовность, чувство_собственного_достоинства, жертвы_войны, легенда, традиционные_ценности, жизненный_путь",/covers/77db7e8dd5f144369b68f3e636abe298.jpg
voskresenye,Воскресенье,Л.Н.Толстой,16+,"Концепты: солдатская_судьба, справедливость, роль_личности_в_истории, жертва, судьба, тирания, жертвы_войны, вина, саморазрушение, утрата, жестокость, героизм",/covers/aafe0ea99780405ea07b88c48e66fe48.jpg
vsadnik_bez_golovy,Всадник без головы,Томас Майн Рид,16+,"Концепты: жизненный_путь, бунт_против_судьбы, фольклор, миф, антиутопия, тьма, тирания, народная_судьба, жертва, небытие, бунт, характер",/covers/b56f7a263e174393a11c57c7b6000441.jpg
gamlet,Гамлет,Уильям Шекспир,16+,"Концепты: литература, эмпатия, духовный_кризис, несчастье, отчаяние, духовное_возрождение, психологическое_давление, жизненный_путь, народная_жизнь, миф, судьба, жизнь_и_смерть",/covers/4667fa8a81504f949fae166ff6a5f5c2.webp
a_hero_of_our_time,Герой нашего времени,М.Ю.Лермонтов,12+,"Концепты: любовь_и_разочарование, страсть, страдание, несчастная_любовь, психологическое_давление, эмоциональное_выгорание, психоз, самолюбие, несчастье, чувство_собственного_достоинства, внутренний_конфликт, одиночество",/covers/2032a8a062bc448abe96c690d047e9bc.jpg
gordost_i_pred,Гордость и предубеждение,Джейн Остин,16+,"Концепты: литература, одержимость, прошлое, утопия, роль_личности_в_истории, красота, фольклор, легенда, миф, антиутопия, цинизм, нравственные_идеалы",/covers/9e619e708f43410fa38f1524af336e19.webp
